ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted
4378,8,Training Two,145,admin,Go to New York weekend,event,duc196,175,12/01/2016-15:58:20,duc196,175,12/01/2016-15:58:20,False
4377,4,Laptop Theft,165,group14,Ursela,person,eme5118,195,11/16/2016-14:11:02,eme5118,195,11/16/2016-14:11:16,False
4376,4,Laptop Theft,165,group14,research assistant,event,eme5118,195,11/16/2016-14:11:02,eme5118,195,11/16/2016-14:11:02,False
4375,4,Laptop Theft,165,group14,applied research lab,location,eme5118,195,11/16/2016-14:09:55,eme5118,195,11/16/2016-14:09:55,False
4374,4,Laptop Theft,165,group14,swimming pool,location,eme5118,195,11/16/2016-14:09:42,eme5118,195,11/16/2016-14:09:42,False
4373,4,Laptop Theft,165,group14,sugar and caffeine,event,eme5118,195,11/16/2016-14:08:53,eme5118,195,11/16/2016-14:08:53,False
4372,4,Laptop Theft,165,group14,Theater,event,eme5118,195,11/16/2016-14:08:06,eme5118,195,11/16/2016-14:08:06,False
4371,4,Laptop Theft,165,group14,movie,event,eme5118,195,11/16/2016-14:06:32,eme5118,195,11/16/2016-14:06:52,False
4370,4,Laptop Theft,165,group14,College 9,location,eme5118,195,11/16/2016-14:05:58,eme5118,195,11/16/2016-14:05:58,False
4369,4,Laptop Theft,165,group14,swimming practice,event,eme5118,195,11/16/2016-14:05:04,eme5118,195,11/16/2016-14:05:04,False
4368,4,Laptop Theft,165,group14,business building,location,eme5118,195,11/16/2016-14:03:32,eme5118,195,11/16/2016-14:03:32,False
4367,4,Laptop Theft,165,group14,STARTUP,event,eme5118,195,11/16/2016-14:02:54,eme5118,195,11/16/2016-14:04:08,False
4366,4,Laptop Theft,165,group14,assistantship,event,eme5118,195,11/16/2016-14:00:52,eme5118,195,11/16/2016-14:03:19,False
4365,4,Laptop Theft,165,group14,materials,event,eme5118,195,11/16/2016-13:59:59,eme5118,195,11/16/2016-13:59:59,False
4364,4,Laptop Theft,165,group14,Quentin,person,eme5118,195,11/16/2016-13:58:17,eme5118,195,11/16/2016-13:58:17,False
4363,4,Laptop Theft,165,group14,work out,event,eme5118,195,11/16/2016-13:57:58,eme5118,195,11/16/2016-13:57:58,False
4361,4,Laptop Theft,165,group14,Atherton Hall,location,eme5118,195,11/16/2016-13:55:08,eme5118,195,11/16/2016-13:55:08,False
4360,4,Laptop Theft,165,group14,Dunkin,location,eme5118,195,11/16/2016-13:54:55,eme5118,195,11/16/2016-13:54:55,False
4359,4,Laptop Theft,165,group14,Currently,event,eme5118,195,11/16/2016-13:51:58,eme5118,195,11/16/2016-13:51:59,False
4358,4,Laptop Theft,161,Team 3,9/11/2015,event,szc5510,184,11/16/2016-13:49:42,szc5510,184,11/16/2016-13:49:42,False
4357,4,Laptop Theft,165,group14,Nicolas,person,eme5118,195,11/16/2016-13:49:40,eme5118,195,11/16/2016-13:49:40,False
4356,4,Laptop Theft,165,group14,Wilkes-barre,location,eme5118,195,11/16/2016-13:49:32,eme5118,195,11/16/2016-13:49:32,False
4355,4,Laptop Theft,165,group14,NY,location,eme5118,195,11/16/2016-13:49:22,eme5118,195,11/16/2016-13:49:23,False
4354,4,Laptop Theft,164,Group 11,Penn State Dance Competition,event,nzj5049,185,11/16/2016-13:48:48,nzj5049,185,11/16/2016-13:48:48,False
4353,4,Laptop Theft,164,Group 11,Final Plan Submission Startup Businesses,event,nzj5049,185,11/16/2016-13:47:53,nzj5049,185,11/16/2016-13:47:54,False
4352,4,Laptop Theft,161,Team 3,9/8/2015,event,szc5510,184,11/16/2016-13:47:51,szc5510,184,11/16/2016-13:47:51,False
4351,4,Laptop Theft,165,group14,Work Fri,event,eme5118,195,11/16/2016-13:47:21,eme5118,195,11/16/2016-13:47:21,False
4350,4,Laptop Theft,164,Group 11,IM Swimming Finals,event,nzj5049,185,11/16/2016-13:46:36,nzj5049,185,11/16/2016-13:46:36,False
4349,4,Laptop Theft,164,Group 11,Computer Building 308,location,edc5129,180,11/16/2016-13:46:30,edc5129,180,11/16/2016-13:46:30,False
4348,4,Laptop Theft,164,Group 11,Microcomputer Applications in Business,event,edc5129,180,11/16/2016-13:46:30,edc5129,180,11/16/2016-13:46:30,False
4346,4,Laptop Theft,164,Group 11,IM Flag Football Final,event,nzj5049,185,11/16/2016-13:46:15,nzj5049,185,11/16/2016-13:46:15,False
4345,4,Laptop Theft,164,Group 11,Student Election Advertisement Day,event,nzj5049,185,11/16/2016-13:45:54,nzj5049,185,11/16/2016-13:45:54,False
4344,4,Laptop Theft,161,Team 3,$600.00,event,szc5510,184,11/16/2016-13:45:54,szc5510,184,11/16/2016-13:45:54,False
4343,4,Laptop Theft,165,group14,Patee Library,location,eme5118,195,11/16/2016-13:45:48,eme5118,195,11/16/2016-13:58:08,False
4341,4,Laptop Theft,164,Group 11,Willard 016,location,edc5129,180,11/16/2016-13:45:21,edc5129,180,11/16/2016-13:45:21,False
4340,4,Laptop Theft,164,Group 11,Chemical Principle,event,edc5129,180,11/16/2016-13:45:21,edc5129,180,11/16/2016-13:45:21,False
4339,4,Laptop Theft,164,Group 11,IM Flag Football Semi-Final,event,nzj5049,185,11/16/2016-13:45:02,nzj5049,185,11/16/2016-13:45:02,False
4334,4,Laptop Theft,164,Group 11,White Building,location,edc5129,180,11/16/2016-13:43:43,edc5129,180,11/16/2016-13:43:43,False
4333,4,Laptop Theft,164,Group 11,Ballet,event,edc5129,180,11/16/2016-13:43:43,edc5129,180,11/16/2016-13:44:32,False
4331,4,Laptop Theft,164,Group 11,Off-campus dancing performance,event,nzj5049,185,11/16/2016-13:42:53,nzj5049,185,11/16/2016-13:42:54,False
4330,4,Laptop Theft,164,Group 11,Midterm Exam for Circuits and Devices,event,nzj5049,185,11/16/2016-13:42:38,nzj5049,185,11/16/2016-13:42:38,False
4329,4,Laptop Theft,164,Group 11,Kern 203,location,edc5129,180,11/16/2016-13:42:31,edc5129,180,11/16/2016-13:42:31,False
4328,4,Laptop Theft,164,Group 11,Media & Democracy,event,edc5129,180,11/16/2016-13:42:31,edc5129,180,11/16/2016-13:42:31,False
4325,4,Laptop Theft,164,Group 11,Thomas 401,location,edc5129,180,11/16/2016-13:41:37,edc5129,180,11/16/2016-13:41:37,False
4324,4,Laptop Theft,164,Group 11,Practicum: Statistical Consulting,event,edc5129,180,11/16/2016-13:41:37,edc5129,180,11/16/2016-13:41:37,False
4323,4,Laptop Theft,166,Team01,was doing laps,event,cke5030,182,11/16/2016-13:41:36,cke5030,182,11/16/2016-13:41:36,False
4322,4,Laptop Theft,161,Team 3,$256.00,event,szc5510,184,11/16/2016-13:41:23,szc5510,184,11/16/2016-13:41:36,False
4321,4,Laptop Theft,164,Group 11,Yadir's Credit Card Payment Date,event,nzj5049,185,11/16/2016-13:41:12,nzj5049,185,11/16/2016-13:41:51,False
4319,4,Laptop Theft,166,Team01,was in,event,cke5030,182,11/16/2016-13:40:51,cke5030,182,11/16/2016-13:40:51,False
4318,4,Laptop Theft,164,Group 11,Wartik 103,location,edc5129,180,11/16/2016-13:40:43,edc5129,180,11/16/2016-13:40:43,False
4317,4,Laptop Theft,164,Group 11,Nature Disasters: Hollywood vs. Reality,event,edc5129,180,11/16/2016-13:40:43,edc5129,180,11/16/2016-13:40:44,False
4316,4,Laptop Theft,164,Group 11,Student Election Info Table,event,nzj5049,185,11/16/2016-13:40:30,nzj5049,185,11/16/2016-13:40:30,False
4315,4,Laptop Theft,161,Team 3,Riley sells laptop on Ebay,event,cjl5378,204,11/16/2016-13:40:29,cjl5378,204,11/16/2016-13:40:29,False
4313,4,Laptop Theft,161,Team 3,9/7/2015,event,szc5510,184,11/16/2016-13:40:15,szc5510,184,11/16/2016-13:40:15,False
4312,4,Laptop Theft,166,Team01,works out,event,cke5030,182,11/16/2016-13:40:06,cke5030,182,11/16/2016-13:40:06,False
4311,4,Laptop Theft,158,Group 12,7:50 and 8:10am,event,bxb5268,197,11/16/2016-13:39:47,bxb5268,197,11/16/2016-13:39:47,False
4309,4,Laptop Theft,164,Group 11,EE Dantet 109,location,edc5129,180,11/16/2016-13:39:41,edc5129,180,11/16/2016-13:39:41,False
4308,4,Laptop Theft,164,Group 11,Circuits & Devices,event,edc5129,180,11/16/2016-13:39:41,edc5129,180,11/16/2016-13:39:41,False
4307,4,Laptop Theft,164,Group 11,Luke's birthday,event,nzj5049,185,11/16/2016-13:39:26,nzj5049,185,11/16/2016-13:39:26,False
4306,4,Laptop Theft,166,Team01,Outdoor Pool,location,cke5030,182,11/16/2016-13:39:20,cke5030,182,11/16/2016-13:39:20,False
4305,4,Laptop Theft,166,Team01,swims,event,cke5030,182,11/16/2016-13:39:20,cke5030,182,11/16/2016-13:39:20,False
4304,4,Laptop Theft,164,Group 11,Zahra's Credit Card Payment Date,event,nzj5049,185,11/16/2016-13:38:46,nzj5049,185,11/16/2016-13:38:46,False
4303,4,Laptop Theft,161,Team 3,$820.00,event,szc5510,184,11/16/2016-13:38:43,szc5510,184,11/16/2016-13:38:43,False
4302,4,Laptop Theft,164,Group 11,Schlow Centre Region Library,location,edc5129,180,11/16/2016-13:38:33,edc5129,180,11/16/2016-13:38:33,False
4301,4,Laptop Theft,164,Group 11,Practicum: Japanese Translation Service,event,edc5129,180,11/16/2016-13:38:33,edc5129,180,11/16/2016-13:38:33,False
4300,4,Laptop Theft,164,Group 11,Project Design Plan Deadline STARTUPS,event,nzj5049,185,11/16/2016-13:37:51,nzj5049,185,11/16/2016-13:37:51,False
4299,4,Laptop Theft,166,Team01,Dunkin Donuts,location,cke5030,182,11/16/2016-13:37:48,cke5030,182,11/16/2016-13:37:48,False
4298,4,Laptop Theft,161,Team 3,"$1,000.00",event,szc5510,184,11/16/2016-13:37:43,szc5510,184,11/16/2016-13:37:43,False
4296,4,Laptop Theft,164,Group 11,Willard 211,location,edc5129,180,11/16/2016-13:36:52,edc5129,180,11/16/2016-13:36:52,False
4295,4,Laptop Theft,164,Group 11,Japanese Literature,event,edc5129,180,11/16/2016-13:36:52,edc5129,180,11/16/2016-13:36:52,False
4294,4,Laptop Theft,164,Group 11,Intramural swim heats,event,nzj5049,185,11/16/2016-13:36:24,nzj5049,185,11/16/2016-13:36:25,False
4292,4,Laptop Theft,164,Group 11,Student election debates,event,nzj5049,185,11/16/2016-13:36:06,nzj5049,185,11/16/2016-13:36:06,False
4291,4,Laptop Theft,164,Group 11,Forum 103,location,edc5129,180,11/16/2016-13:35:55,edc5129,180,11/16/2016-13:35:55,False
4290,4,Laptop Theft,164,Group 11,Introduction to psychology,event,edc5129,180,11/16/2016-13:35:55,edc5129,180,11/16/2016-13:35:55,False
4289,4,Laptop Theft,164,Group 11,IM Soccer Final,event,nzj5049,185,11/16/2016-13:35:47,nzj5049,185,11/16/2016-13:35:47,False
4288,4,Laptop Theft,161,Team 3,Zahara Credit Card Payment,event,cjl5378,204,11/16/2016-13:35:32,cjl5378,204,11/16/2016-13:35:32,False
4287,4,Laptop Theft,161,Team 3,9/2/2015,event,szc5510,184,11/16/2016-13:35:28,szc5510,184,11/16/2016-13:36:37,False
4286,4,Laptop Theft,164,Group 11,Rackley 101,location,edc5129,180,11/16/2016-13:34:35,edc5129,180,11/16/2016-13:34:35,False
4285,4,Laptop Theft,164,Group 11,Spanish in the US,event,edc5129,180,11/16/2016-13:34:35,edc5129,180,11/16/2016-13:34:36,False
4284,4,Laptop Theft,161,Team 3,$300.00,event,szc5510,184,11/16/2016-13:34:13,szc5510,184,11/16/2016-13:36:50,False
4283,4,Laptop Theft,164,Group 11,Information Systems Management and Applications,event,edc5129,180,11/16/2016-13:33:32,edc5129,180,11/16/2016-13:33:32,False
4282,4,Laptop Theft,164,Group 11,Keller 302,location,edc5129,180,11/16/2016-13:31:41,edc5129,180,11/16/2016-13:31:41,False
4281,4,Laptop Theft,164,Group 11,Data Management,event,edc5129,180,11/16/2016-13:31:41,edc5129,180,11/16/2016-13:31:41,False
4280,4,Laptop Theft,171,Team 7,works out,event,lgs5102,183,11/15/2016-19:01:43,lgs5102,183,11/15/2016-19:01:43,False
4279,4,Laptop Theft,171,Team 7,work out,event,lgs5102,183,11/15/2016-18:59:50,lgs5102,183,11/15/2016-18:59:50,False
4278,4,Laptop Theft,171,Team 7,presentation,event,lgs5102,183,11/15/2016-18:56:39,lgs5102,183,11/15/2016-18:56:39,False
4277,4,Laptop Theft,171,Team 7,Quentin,person,lgs5102,183,11/15/2016-18:54:52,lgs5102,183,11/15/2016-18:54:52,False
4276,4,Laptop Theft,171,Team 7,Nicolas,person,lgs5102,183,11/15/2016-18:54:10,lgs5102,183,11/15/2016-18:54:10,False
4275,4,Laptop Theft,171,Team 7,assistantship,event,lgs5102,183,11/15/2016-18:53:47,lgs5102,183,11/15/2016-18:54:26,False
4274,4,Laptop Theft,171,Team 7,practice,event,lgs5102,183,11/15/2016-18:51:04,lgs5102,183,11/15/2016-18:51:04,False
4273,4,Laptop Theft,158,Group 12,kern 203,location,oto5029,186,11/15/2016-18:44:44,oto5029,186,11/15/2016-18:44:44,False
4272,4,Laptop Theft,158,Group 12,Media & Democracy,event,oto5029,186,11/15/2016-18:44:44,oto5029,186,11/15/2016-18:44:44,False
4271,4,Laptop Theft,158,Group 12,Thomas 401,location,oto5029,186,11/15/2016-18:43:48,oto5029,186,11/15/2016-18:43:48,False
4270,4,Laptop Theft,158,Group 12,Sean,person,oto5029,186,11/15/2016-18:43:48,oto5029,186,11/15/2016-18:43:48,False
4269,4,Laptop Theft,158,Group 12,Wartik,location,oto5029,186,11/15/2016-18:40:27,oto5029,186,11/15/2016-18:40:27,False
4268,4,Laptop Theft,158,Group 12,Nature Disasters,event,oto5029,186,11/15/2016-18:40:27,oto5029,186,11/15/2016-18:40:27,False
4267,4,Laptop Theft,171,Team 7,Zahra,person,lgs5102,183,11/15/2016-18:27:32,lgs5102,183,11/15/2016-18:27:32,False
4266,4,Laptop Theft,171,Team 7,lunch,event,zvh5096,188,11/14/2016-22:35:44,zvh5096,188,11/14/2016-22:35:44,False
4265,4,Laptop Theft,171,Team 7,Subway,location,zvh5096,188,11/14/2016-22:34:52,zvh5096,188,11/14/2016-22:34:52,False
4264,4,Laptop Theft,171,Team 7,Spanish,event,zvh5096,188,11/14/2016-22:21:02,zvh5096,188,11/14/2016-22:21:02,False
4263,4,Laptop Theft,171,Team 7,Rackley,location,zvh5096,188,11/14/2016-22:17:11,zvh5096,188,11/14/2016-22:17:11,False
4262,4,Laptop Theft,171,Team 7,Ballet,event,zvh5096,188,11/14/2016-22:09:44,zvh5096,188,11/14/2016-22:09:44,False
4261,4,Laptop Theft,171,Team 7,White Building,location,zvh5096,188,11/14/2016-22:07:47,zvh5096,188,11/14/2016-22:29:32,False
4260,4,Laptop Theft,171,Team 7,Vanesa,person,zvh5096,188,11/14/2016-22:00:32,zvh5096,188,11/14/2016-22:08:15,False
4259,4,Laptop Theft,171,Team 7,job,event,zvh5096,188,11/14/2016-21:59:57,zvh5096,188,11/14/2016-21:59:57,False
4257,4,Laptop Theft,171,Team 7,Pattee Library,location,zvh5096,188,11/14/2016-14:19:33,zvh5096,188,11/14/2016-14:20:08,False
4256,4,Laptop Theft,171,Team 7,Frank,person,lgs5102,183,11/14/2016-14:18:31,lgs5102,183,11/14/2016-14:18:31,False
4255,4,Laptop Theft,171,Team 7,Mikayla,person,zvh5096,188,11/14/2016-14:18:26,zvh5096,188,11/14/2016-14:18:26,False
4254,4,Laptop Theft,171,Team 7,Chemical Principle,event,zvh5096,188,11/14/2016-14:17:14,zvh5096,188,11/14/2016-14:17:14,False
4253,4,Laptop Theft,171,Team 7,practices,event,lgs5102,183,11/14/2016-14:17:00,lgs5102,183,11/14/2016-14:17:00,False
4252,4,Laptop Theft,171,Team 7,Practicum: Statistical Consulting,event,zvh5096,188,11/14/2016-14:16:43,zvh5096,188,11/14/2016-14:16:43,False
4251,4,Laptop Theft,171,Team 7,Washington DC,location,mxt5265,198,11/14/2016-14:15:26,mxt5265,198,11/14/2016-14:15:26,False
4250,4,Laptop Theft,171,Team 7,Yadir's internship,event,mxt5265,198,11/14/2016-14:15:26,mxt5265,198,11/14/2016-14:15:26,False
4249,4,Laptop Theft,171,Team 7,Dynamics,event,zvh5096,188,11/14/2016-14:14:53,zvh5096,188,11/14/2016-14:14:53,False
4248,4,Laptop Theft,171,Team 7,Isabel,person,lgs5102,183,11/14/2016-14:14:50,lgs5102,183,11/14/2016-14:14:50,False
4247,4,Laptop Theft,171,Team 7,Tay,person,lgs5102,183,11/14/2016-14:14:12,lgs5102,183,11/14/2016-14:14:12,False
4246,4,Laptop Theft,158,Group 12,EE Dantet,location,oto5029,186,11/14/2016-14:11:15,oto5029,186,11/14/2016-14:11:15,False
4245,4,Laptop Theft,158,Group 12,Circuits & Devices,event,oto5029,186,11/14/2016-14:11:15,oto5029,186,11/14/2016-14:11:15,False
4244,4,Laptop Theft,164,Group 11,Henderson 306,location,edc5129,180,11/14/2016-14:11:14,edc5129,180,11/14/2016-14:11:14,False
4243,4,Laptop Theft,164,Group 11,Dynamics,event,edc5129,180,11/14/2016-14:11:14,edc5129,180,11/14/2016-14:11:14,False
4242,4,Laptop Theft,166,Team01,Been,event,cke5030,182,11/14/2016-14:10:45,cke5030,182,11/14/2016-14:10:45,False
4241,4,Laptop Theft,162,Team13,part-time job,event,mzc5605,196,11/14/2016-14:10:42,mzc5605,196,11/14/2016-14:10:42,False
4240,4,Laptop Theft,171,Team 7,Sean,person,zvh5096,188,11/14/2016-14:10:40,zvh5096,188,11/14/2016-14:10:40,False
4239,4,Laptop Theft,171,Team 7,Willard,location,zvh5096,188,11/14/2016-14:10:20,zvh5096,188,11/14/2016-14:10:20,False
4238,4,Laptop Theft,171,Team 7,Thomas,location,zvh5096,188,11/14/2016-14:10:10,zvh5096,188,11/14/2016-14:10:10,False
4237,4,Laptop Theft,164,Group 11,Thomas 205,location,edc5129,180,11/14/2016-14:09:59,edc5129,180,11/14/2016-14:09:59,False
